MD5;Name (No-Intro);Size;Dump Type;Good Dump;Date;Datter;Cart Serial;PCB;ROM Serial;Stamp
1F1FB3CF8783F880BC796D667BE60231;007 - The World Is Not Enough (USA, Europe);2097152;Trusted Dump;TRUE;06 09 2010;Tauwasser;CGB-BO7P-EUR;DMG-A09-10;CGB-BO7P-0;13;
6B055C6D12E477FBFD7BED1B495D56F7;10-Pin Bowling (USA) (Rumble Version);1048576;Third Party;TRUE;01 01 1990;root;CGB-VP9E-USA;;;;
2B7E2442D503CE368FC93A9EBF0F70EF;102 Dalmatians - Puppies to the Rescue (USA, Europe);1048576;Trusted Dump;TRUE;11 09 2010;Tauwasser;CGB-B99P-UKV;DMG-A18-01;CGB-B99P-0;;
2B7E2442D503CE368FC93A9EBF0F70EF;102 Dalmatians - Puppies to the Rescue (USA, Europe);1048576;Trusted Dump;TRUE;09 11 2011;Tauwasser;CGB-B99E-USA-1;DMG-A07-01;CGB-B99E-0;A;
0DDB1E2111A510557484F942AC78B915;102 Dalmatiens a la Rescousse, Les (France);1048576;Third Party;TRUE;01 01 1990;root;CGB-B99F-FRA;;;;
A649EF1410AE4C24020FB8B0113739E3;102 Dalmatiner (Germany);1048576;Third Party;TRUE;01 01 1990;root;CGB-B99D-NOE;;;;
A31652B6D1E7FC647C4AF7B9DFE05FF5;1942 (USA, Europe);1048576;Trusted Dump;TRUE;11 11 2012;BigFred;AQ4P;;;;
B9CF8D2416F8A6DD3B412AFD91337F40;3-D Ultra Pinball - Thrillride (USA) (Rumble Version);524288;Third Party;TRUE;01 01 1990;root;CGB-VUPE-USA;;;;
429E6DA4B32D8CAA22E78D92C0FEBD12;3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl);1048576;Third Party;TRUE;01 01 1990;root;CGB-BVPP-EUR;;;;
5878A145E365FA1841B22E837C3226FF;4x4 World Trophy (Europe) (En,Fr,De,Es,It) (GB Compatible);1048576;Trusted Dump;TRUE;25 01 2014;Tauwasser;DMG-AQ3P-NOE;DMG-A06-01;DMG-AQ3P-0;11;
5878A145E365FA1841B22E837C3226FF;4x4 World Trophy (Europe) (En,Fr,De,Es,It) (GB Compatible);1048576;Trusted Dump;TRUE;23 08 2014;BigFred;DMG-AQ3P-NOE;;DMG-AQ3P-0;;
221A0E464F5F0C3D38494939B1765A24;720 Degrees (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;06 09 2010;Tauwasser;DMG-AA7P-EUR;DMG-A07-01;DMG-AA7P-0;;
221A0E464F5F0C3D38494939B1765A24;720 Degrees (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;07 11 2011;BigFred;DMG-AA7E-USA;;;22;
221A0E464F5F0C3D38494939B1765A24;720 Degrees (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;23 08 2014;BigFred;DMG-AA7P-EUU;;DMG-AA7P-0;;
D9D85B81D1B0B4D3C86C95A6E1846F5A;Action Man - Search for Base X (USA, Europe);1048576;Trusted Dump;TRUE;01 01 1990;root;CGB-BAXP-EUR;;;;
ADA59E7DAFE1A6B70ADD7020959C1B23;Adventures of Elmo in Grouchland, The (Europe) (GB Compatible);1048576;Trusted Dump;TRUE;12 10 2010;root;DMG-AELP-EUR;;;8;
ADA59E7DAFE1A6B70ADD7020959C1B23;Adventures of Elmo in Grouchland, The (Europe) (GB Compatible);1048576;Trusted Dump;TRUE;09 11 2011;Tauwasser;DMG-AELP-EUR;DMG-A07-01;DMG-AELP-0;;
CBDC5112EB8B9878FA5FE905E0ACA556;Adventures of Elmo in Grouchland, The (USA) (GB Compatible);262144;Third Party;TRUE;01 01 1990;root;DMG-ALLE-USA;;;;
29DEFF80E9E8D734F77D8590AC5CDCE9;Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl);1048576;Trusted Dump;TRUE;08 01 2013;Tauwasser;CGB-BSFP-NOE;DMG-Z02-01;CGB-BSFP-0;41;
46ED332D95C5DA9A2007945FED9F8118;Tintin - Prisoners of the Sun (Europe) (En,Fr,De);1048576;Third Party;TRUE;11 02 2010;kazumi213;CGB-BTTP-FAH;;;;
9D64F8607E9BC3E788F30FFF123BE448;AirForce Delta (Japan);1048576;Third Party;TRUE;01 01 1990;root;CGB-BDLJ-JPN;;;;
EE37C79E8DF6475D90E99E527823F92F;AirForce Delta (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-BDLE-USA;;;;
BAD95D30C38A92E7906FEECB6D6BD272;Aladdin (Europe) (En,Fr,De,Es,It,Nl);1048576;Third Party;TRUE;01 01 1990;root;CGB-BADP-EUR;;;;
644C2C3CF2DC2E3FCE741844E497A18F;Aladdin (USA);1048576;Trusted Dump;TRUE;06 09 2010;Tauwasser;CGB-BADE-USA;DMG-A07-01;CGB-BADE-0;;
BCC135B000C1C54F12F4AE87C7673B0C;Alfred's Adventure (Europe) (En,Fr,De,Es,It);1048576;Third Party;TRUE;01 01 1990;root;CGB-BAAP-EUR;;;;
265DE745B9B6C8E84E02ACBF80D0428E;Alice in Wonderland (Europe) (En,Fr,De,Es);2097152;Third Party;TRUE;01 01 1990;root;CGB-AIWP-EUR;;;;
0ED5B9FFE7AD90D819CAC810D05B669C;Alice in Wonderland (USA);2097152;Third Party;TRUE;01 01 1990;root;CGB-AIWE-USA;;;;
