MD5;ROM Serial;Name (No-Intro);is_synthetic
93CEA7134DB2A28B06D30729AD460DD6;DMG-WQJ-0;3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan);True
D4EBF9CF10DDA19DD2BAFD1C1673D762;DMG-U4J-0;3-pun Yosou - Umaban Club (Japan);False
F1724349B22AA4F3A3E6C30D97117040;DMG-F4J-0;4-in-1 Fun Pak (Japan);False
B8D609B5DBAC6A2DAE6087FD9FEEC196;DMG-F4E-0;4-in-1 Fun Pak (USA, Europe);False
71FEB6C7D5B764D5192C28EFE74D13C6;DMG-F9E-0;4-in-1 Fun Pak Volume II (USA, Europe);True
8814B9EC76241A6AC4DEEFA00EBEBAD8;DMG-AFX-0;Addams Family, The (Europe) (En,Fr,De);False
DC2F4D927EDDA442DE2148AF590BEBB5;DMG-AFJ-0;Addams Family, The (Japan);True
F629F0B6D156BEC6ACB9E6B9DA4AD4E3;DMG-AFE-0;Addams Family, The (USA);False
57726C28DC09949029A154F63B891DD0;DMG-A8E-0;Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe);True
D67E58BF5F39D5FB073FED85C3D9BEDE;DMG-T3E-0;Adventure Island (USA, Europe);False
ED2444AFE317452E29C1C2258DA6963C;DMG-GQE-0;Adventure Island II - Aliens in Paradise (USA, Europe);False
8F6B6EF366A787852F664D945C86EB72;DMG-LOX-0;Adventures of Lolo (Europe) (SGB Enhanced);False
9FE1A65A792825C2125D6FD47FFBB571;DMG-RYE-0;Adventures of Rocky and Bullwinkle and Friends, The (USA);True
91ECEC5F8D06F18724BD1462B53C4B3D;DMG-KSE-0;Adventures of Star Saver, The (USA, Europe);True
8FDFFDE2DB7F8DA5CDB60A49D77A6B32;DMG-ATSP-0;Tintin - Prisoners of the Sun (Europe) (En,Fr,De);True
4B4D6E6D4870D36A26E6FE6AD73B0EAC;DMG-AEA-0;Aero Star (Japan);True
F777A4526089A83CA758EFBF01007EC1;DMG-AEE-0;Aerostar (USA, Europe);False
B5C541C765FD3A5767B3FA1CFC821587;DMG-ABA-0;After Burst (Japan);True
C8BAB3886324F6AEC60B65D8584453A1;DMG-A6X-0;Agro Soar (Australia);False
437FEC3B28D28314D580EC1E4D0BC9AE;DMG-A7J-0;Aa Harimanada (Japan);True
9A5215658C60A1802B11F728C292B536;DMG-ACCJ-0;Akazukin Chacha (Japan) (SGB Enhanced);False
6761F77E6DAA82120DD7C73ADEEC777E;DMG-ADNJ-0;Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced);True
63F593E38A526A10FF3FA5AEC1C8CCB0;DMG-DFJ-0;Akumajou Special - Boku Dracula-kun (Japan);True
781F768D5211ABA1E4CF383D4585C1BD;DMG-ALAP-0;Aladdin (Europe) (SGB Enhanced);False
ED5525A71DDA6EAF4BBF8D5601B6B3B9;DMG-ALAE-0;Aladdin (USA) (SGB Enhanced);True
B83F3C669D22BC74C72743821AE3AAA3;DMG-C3X-0;Alfred Chicken (Europe);False
A95E6579F8D6048C5E150C41D180C782;DMG-C3J-0;Alfred Chicken (Japan) (SGB Enhanced);True
CAC921F8EEC70D5CCD8A2DB8F473A084;DMG-C3E-0;Alfred Chicken (USA);True
4F5C4C439F1134177E02D72C794882BA;DMG-L3J-0;Alien 3 (Japan);True
B3F3D35F58A0EA3AFFC0EC6D4EE1183D;DMG-L3E-0;Alien 3 (USA, Europe);False
D300BF9412617A95B00B80FA468A8A04;DMG-ALGP-0;Alien Olympics (Europe);False
AB916E1DF69E7B3401CB6EBD3F1798A7;DMG-A9J-0;Alien vs Predator (Japan);True
50A208BD0A223C037E01FFE07B04FA5B;DMG-A9E-0;Alien vs Predator - The Last of His Clan (USA);True
79492CE68C61AE8E29B96DB1D2E2BF6F;DMG-AB9E-0;All-Star Baseball 99 (USA);True
91128778A332495F77699EAF3A37FE30;DMG-AWA-0;Alleyway (World);False
B4AB37EE420C11285BE1C634C34F5726;DMG-ALX-0;Altered Space - A 3-D Alien Adventure (Europe);True
3208CC9EE33A163CD7CAD242DB3E1F4A;DMG-ALJ-0;Altered Space - A 3-D Alien Adventure (Japan);True
012EE0A196C03CCA91A43A9EADBECFB6;DMG-ALE-0;Altered Space - A 3-D Alien Adventure (USA);False
D8326BFEE457CCB2C0AFB8DD6AC11DB2;DMG-PNE-0;Amazing Penguin (USA, Europe);False
506CCD75DB221ACBF26F1681F3C97EFD;DMG-ZSE-0;Spider-Man 2 (USA, Europe);False
8833AE0FD3B4C47B8249A12708C98A98;DMG-LQE-0;Spider-Man 3 - Invasion of the Spider-Slayers (USA, Europe);False
4A967A8F1DD6F627E8B72950739C26D4;DMG-SME-0;Amazing Spider-Man, The (USA, Europe);False
53B746BFF74C50CD3EBCF41161C66CF3;DMG-P3E-0;A-mazing Tater (USA);False
C0CA6588162206B5982BA77BCF6397CE;DMG-UQJ-0;America Oudan Ultra Quiz (Japan);False
9148245E7196C286506AD6B8BEF73E35;DMG-AUJ-0;America Oudan Ultra Quiz Part 2 (Japan);False
EF84A328B1C87D22448ACCDB713A2329;DMG-U3J-0;America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan);False
6F32E45CC1829AB2FC3048634B68D749;DMG-UAJ-0;America Oudan Ultra Quiz Part 4 (Japan);False
54CEAD768696A61B7CD31F91C0C58021;DMG-AJAJ-0;Animal Breeder (Japan) (SGB Enhanced);False
208B978E1EE53EFA875CD6DFC42223F2;DMG-AAJJ-0;Animal Breeder 2 (Japan) (SGB Enhanced);False
AE3F9A9C9A1CE63578BA68B3511C359C;DMG-ANCP-0;Animaniacs (Europe) (SGB Enhanced);False
84FF06249F96442626CDD75A5FA440CE;DMG-ANCE-0;Animaniacs (USA) (SGB Enhanced);True
FF9196CAA266AE36D409CE7E53DDC77A;DMG-AABJ-0;Another Bible (Japan) (SGB Enhanced);True
6CBAAF40726A834BA7B3D7F179A140FE;DMG-ASHJ-0;Aoki Densetsu Shoot! (Japan) (SGB Enhanced);False
25EC0916FF6F24A1878A9F30991D301D;DMG-AMCP-0;Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced);False
516085555E451966B9DD5166DFE6C728;DMG-ACPP-0;Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced);False
08F46BB59E52562F08C76F4E6C0040C5;DMG-AGCP-0;Arcade Classic No. 3 - Galaga & Galaxian (Europe) (SGB Enhanced);False
19FD29EFAF7EA9E314BD613954A92169;DMG-AGCE-0;Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced);False
211A15218FA66E4A09BC253AE064991C;DMG-ADJP-0;Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced);False
E1B89445B1E8992D93319C52D4D7CA3B;DMG-ABSP-0;Arcade Classics - Battlezone & Super Breakout (USA, Europe) (SGB Enhanced);True
9C23D37D51A593E82378DAD038A52EF2;DMG-A1J-0;Aretha (Japan);False
A3059206EF517091A475249CE6C0DB4F;DMG-A4J-0;Aretha II (Japan);False
BB0CCA048A51DDBAE426221BB3D2E508;DMG-AZJ-0;Aretha III (Japan);True
24DB7B8D9080B1626DD949331AC40ACA;DMG-ATJ-0;Asmik-kun World 2 (Japan);False
CF5BE6D9C263D02039BFAAE93C1BD32C;DMG-AXOS-0;Asterix & Obelix (Europe) (En,Es) (SGB Enhanced);False
5354465291244E5A035807C2666D185E;DMG-AXOP-0;Asterix & Obelix (Europe) (Fr,De) (SGB Enhanced);False
812DB832566202610BB1E42E643E2B93;DMG-XAX-0;Asterix (Europe) (En,Fr,De,Es,It);False
13749826DF12DA4574E34CCB6D9C780D;DMG-ANE-0;Asteroids (USA, Europe);False
5A88B67ED5475E591747BC7956642456;DMG-ARA-0;Astro Rabby (Japan);True
76010C6FF6BD0C4E8AC934DC69FB96AB;DMG-HBE-0;Atomic Punk (USA);True
